num_matched_skills,num_missing_skills,certification_score,exp_years,study_score,total_jd_skills,resume_score_raw,score_percentage
16,0,4,0,1,16,16,100.0
1,12,5,5,1,13,1,3.268227982717768
0,18,3,3,2,18,0,1.4347063061214897
11,1,4,0,2,12,11,92.49263856726954
4,5,0,14,2,9,4,47.28912781679265
4,16,5,6,1,20,4,15.62596643127649
8,9,5,8,1,17,8,45.05695916357399
0,6,5,12,1,6,0,2.546890581680529
2,17,3,3,1,19,2,16.762951065632304
2,7,4,3,1,9,2,27.05183226202017
2,10,3,5,1,12,2,17.076941022430653
3,11,1,11,1,14,3,18.99159630896569
7,6,1,14,2,13,7,55.865256639550374
0,16,4,2,2,16,0,0.0
10,6,3,12,2,16,10,58.414992803695526
16,0,0,11,2,16,16,100.0
7,10,5,5,1,17,7,43.1866429884699
3,10,5,6,0,13,3,21.339289408058303
5,12,4,10,1,17,5,33.5574581288087
7,12,1,9,0,19,7,43.276980082405856
2,15,1,9,2,17,2,9.54151809112474
5,0,5,2,1,5,5,97.86296028775263
8,5,4,6,2,13,8,58.77523267172651
2,9,3,13,1,11,2,23.00106977539499
8,5,1,2,2,13,8,66.40624877606216
12,0,3,12,0,12,12,100.0
1,4,1,12,0,5,1,25.04301474924418
13,3,1,1,0,16,13,73.0889096028574
1,11,2,11,1,12,1,9.738154937924328
1,11,1,13,0,12,1,3.041406319098072
2,17,0,9,1,19,2,7.961743914616606
15,0,4,3,0,15,15,100.0
4,3,4,11,0,7,4,61.32068413460666
0,5,3,7,1,5,0,0.0
3,9,1,12,1,12,3,13.376401692737993
0,7,0,14,0,7,0,0.902654209027157
3,4,3,8,1,7,3,56.0750007741356
0,5,2,6,0,5,0,0.0
13,2,3,0,1,15,13,86.90124384141797
4,5,3,2,2,9,4,53.35526253712484
3,11,1,12,2,14,3,24.37994452388037
7,4,2,11,2,11,7,64.72066882127832
7,7,3,13,2,14,7,52.21058332656737
6,7,0,8,2,13,6,47.4050658167144
2,14,0,14,0,16,2,6.801227859216469
0,11,4,11,2,11,0,0.0
0,13,2,0,2,13,0,9.434140560621184
11,1,2,8,2,12,11,92.58608342619245
13,3,4,7,2,16,13,81.75047721289849
5,1,3,0,1,6,5,82.8821950130523
5,0,2,5,0,5,5,100.0
5,15,0,4,2,20,5,37.693455508687435
2,9,0,5,2,11,2,20.801581517357153
5,6,1,9,2,11,5,42.51411132297269
7,11,2,11,0,18,7,38.22188459943117
10,2,3,12,1,12,10,88.68831566935961
1,8,4,15,0,9,1,8.197108104046123
4,3,4,12,1,7,4,61.40408958800848
0,16,3,12,2,16,0,0.0
11,1,5,14,2,12,11,90.51726880943473
0,10,1,4,0,10,0,3.1407000674033467
4,11,4,15,0,15,4,33.01729439954524
3,4,2,5,1,7,3,38.764771771930896
4,1,1,4,1,5,4,72.48617491184699
7,0,2,10,0,7,7,98.69632417554091
2,7,0,11,1,9,2,16.595127183487776
3,16,1,4,0,19,3,15.044290350562877
2,16,4,3,1,18,2,11.077843837954925
7,0,1,2,0,7,7,93.40427477399028
0,5,1,2,0,5,0,4.022195550554326
0,9,1,3,0,9,0,0.0
11,3,5,8,1,14,11,83.97372791645532
11,0,1,1,1,11,11,90.77547379851953
13,6,2,14,1,19,13,63.33509177885199
5,13,0,8,0,18,5,30.361124321018394
2,9,3,0,1,11,2,14.186265327691858
11,4,1,13,1,15,11,72.51065504308485
8,5,4,14,0,13,8,61.54195712624741
4,15,1,14,2,19,4,21.84391148371421
16,3,4,0,0,19,16,80.82269525212092
13,1,2,4,1,14,13,93.60357567450525
4,10,4,5,0,14,4,24.658710045256168
2,14,3,5,2,16,2,15.871402343733877
0,17,0,2,0,17,0,0.0
3,4,4,15,1,7,3,43.632325975120445
